code_filiere,nom_complet,parcours_id,parcours_nom,description,matieres_principales,competences_visees,prerequis,series_admissibles,metiers_accessibles,secteur_professionnel
AEE,Agriculture et Élevage,P1,Biotechnologie et Agronomie,"Formation sur les techniques agronomiques modernes, la gestion des cultures et l'élevage durable.",SVT; SVT / Biologie-Géologie; SVT / Sciences humaines; Mathématiques; SPCT; Sciences Physiques et Chimiques; Français; Anglais,Agronomie; Zootechnie; Analyse des sols; Gestion d'exploitation,"Basse exigence en maths pures, intérêt fort pour les sciences naturelles et l'environnement.",D; S; C; A; A1; A2,Agronome; Conseiller agricole; Chef d'exploitation; Responsable d'élevage,Agriculture / Agronomie
IAA,Industrie Agroalimentaire,P1,Biotechnologie et Agronomie,"Transformation des produits agricoles, contrôle qualité sanitaire et procédés de conservation alimentaire.","Sciences Physiques, Chimiques et Technologie (SPCT); Sciences Physiques et Chimiques; SVT; SVT / Biologie-Géologie; Mathématiques; Français; Anglais",Biochimie alimentaire; Contrôle qualité HACCP; Process agroalimentaires; Microbiologie,Bases en chimie et biologie.,D; S; C; Technique,Ingénieur Agroalimentaire; Responsable Qualité HACCP; Conducteur de ligne de production; Biologiste industriel,Industrie Agroalimentaire
PIP,Pharmacologie et Industries Pharmaceutiques,P1,Biotechnologie et Agronomie,"Étude des principes actifs, formulation pharmaceutique, contrôle qualité des médicaments et cosmétiques.","Sciences Physiques, Chimiques et Technologie (SPCT); Sciences Physiques et Chimiques; SVT; SVT / Biologie-Géologie; Mathématiques; Français; Anglais",Chimie organique; Pharmacologie; Analyse en laboratoire; Normes GMP/BPF,Excellentes notes en Chimie et Biologie.,C; D; S,Technicien supérieur en pharmacologie; Responsable contrôle qualité labo; Assistant de recherche galénique; Délégué médical,Industrie Pharmaceutique & Santé
EMII,Électro-Mécanique et Informatique Industrielle,P2,Génie Industriel et Génie Civil,"Conception, automatisation et maintenance des systèmes mécatroniques et chaînes industrielles.","Mathématiques; Mathématiques appliquées; Sciences Physiques, Chimiques et Technologie (SPCT); Sciences Physiques et Chimiques; Physique appliquée / Technologie; Anglais",Automatisme PLC; Électrotechnique; Maintenance industrielle; CAO Mécanique,Solides bases en sciences physiques et mathématiques.,C; S; Technique; D,Ingénieur Électromécanicien; Automaticien; Responsable Maintenance; Concepteur Mécatronique,Industrie & Automatisme
GCA,Génie Civil et Architecture,P2,Génie Industriel et Génie Civil,"Dimensionnement des structures, conception architecturale, calcul de béton armé et conduite de chantier BTP.","Mathématiques; Mathématiques appliquées; Sciences Physiques, Chimiques et Technologie (SPCT); Sciences Physiques et Chimiques; Dessin technique; Histoire-Géographie",Calcul de structures; AutoCAD/Revit; Métré et devis; Conduite de chantier BTP,"Esprit spatial, maîtrise de la physique et géométrie.",C; S; Technique; D,Ingénieur Génie Civil; Architecte collaborateur; Chef de chantier BTP; Conducteur de travaux,Bâtiment et Travaux Publics (BTP)
ICMP,"Industries Chimiques, Minières et Pétrolières",P2,Génie Industriel et Génie Civil,"Extraction des ressources géologiques, procédés de raffinage, traitement des minerais et normes QHSE.","Sciences Physiques, Chimiques et Technologie (SPCT); Sciences Physiques et Chimiques; Mathématiques; SVT; SVT / Biologie-Géologie",Génie des procédés; Géologie minière; Normes QHSE; Raffinage et extraction,Forte appétence pour la chimie des matériaux et la physique.,C; S; D; Technique,Ingénieur Procédés; Géologue minier; Ingénieur QHSE; Responsable d'extraction,"Mines, Énergie & Chimie"
ESIIA,Electronique Système Informatique et Intelligence Artificielle,P3,Informatique et Télécommunication,"Conception de cartes électroniques, programmation bas niveau, systèmes embarqués et robotique intelligente.","Mathématiques; Mathématiques appliquées; Sciences Physiques, Chimiques et Technologie (SPCT); Sciences Physiques et Chimiques; Physique appliquée / Technologie; Anglais",C/C++ embarqué; Microcontrôleurs IoT; Électronique numérique; Signal & Traitement,Compétences élevées en logique mathématique et physique appliquée.,C; S; Technique,Ingénieur Systèmes Embarqués; Concepteur Électronique; Ingénieur Robotique; Développeur IoT,Électronique & High-Tech
IGGLIA,Informatique de Gestion Génie Logiciel et Intelligence Artificielle,P3,Informatique et Télécommunication,"Ingénierie logicielle avancée, architecture des systèmes d'information, bases de données et modèles d'IA.",Mathématiques; Mathématiques de gestion; Mathématiques appliquées; Anglais; Français,Algorithmique & Python; Génie Logiciel & Java/Web; SQL & Bases de données; Machine Learning,"Grande rigueur logique, bon niveau en mathématiques et anglais.",C; S; D; G; Technique; A; A1; A2,Développeur Fullstack; Ingénieur Génie Logiciel; Architecte SI; Data Scientist / IA,Informatique & Édition de Logiciels
IMTICIA,Informatique Multimédia Technologie de L'information et de la Communication et Intelligence Artificielle,P3,Informatique et Télécommunication,"Développement web/mobile, modélisation multimédia 3D, réseaux de communication et applications IA interactives.",Mathématiques; Français; Anglais; Arts / options culturelles; Physique appliquée / Technologie,UI/UX Design; Développement Web/Mobile; Infographie & 3D; Réseaux informatiques,Créativité visuelle alliée à des compétences en logique numérique.,C; S; D; L; A; A1; A2; G; Technique,Développeur Web/Mobile; Designer UI/UX; Administrateur Réseaux & TIC; Concepteur Multimédia,Numérique & Multimédia
ISAIA,Informatique Statistique Appliquée et Intelligence Artificielle,P3,Informatique et Télécommunication,"Modélisation statistique avancée, Big Data, analyse prédictive et algorithmes d'apprentissage automatique.",Mathématiques; Mathématiques de gestion; Mathématiques appliquées; Anglais; Français,Statistiques inférentielles; Python / R Data; Machine Learning & Deep Learning; PowerBI & Analytics,Très fort niveau en mathématiques pures et de gestion.,C; S; D; G,Data Analyst; Data Scientist; Consultant Big Data; Statisticien Décisionnel,Data & Intelligence Artificielle
TEE,Tourisme et Environnement,P4,Techniques du Tourisme,"Valorisation du patrimoine naturel, gestion de projets d'écotourisme et conservation environnementale.",Français; Anglais; LV2; Histoire-Géographie; SVT; SVT / Biologie-Géologie; SVT / Sciences humaines,Ingénierie touristique; Écotourisme & Biodiversité; Gestion de projets durables; Guide & Médiation,"Aisance en langues, sensibilité écologique et ouverture culturelle.",A; A1; A2; L; D; S; G,Consultant Écotourisme; Chef de projet Développement Durable; Guide Patrimoine; Responsable Parc Naturel,Tourisme & Environnement
TEH,Tourisme et Hôtellerie,P4,Techniques du Tourisme,"Management des établissements hôteliers, organisation événementielle et accueil touristique international.",Français; Anglais; LV2; Histoire-Géographie; Gestion / Comptabilité,Management hôtelier; Gestion événementielle; Communication interculturelle; Yield Management,Excellentes qualités relationnelles et maîtrise des langues étrangères.,A; A1; A2; L; G; D,Manager d'Hôtel; Chef de projet Événementiel; Responsable d'Agence de Voyage; Directeur de l'Hébergement,Hôtellerie & Restauration
