filiere_code,series_autorisees,matieres_obligatoires,note_minimale_requise,prerequis_detail
AEE,D; S; C; A; A1; A2,SVT,10.0,"Basse exigence en maths pures, intérêt fort pour les sciences naturelles et l'environnement."
IAA,D; S; C; Technique,"Sciences Physiques, Chimiques et Technologie (SPCT)",10.0,Bases en chimie et biologie.
PIP,C; D; S,"Sciences Physiques, Chimiques et Technologie (SPCT)",10.0,Excellentes notes en Chimie et Biologie.
EMII,C; S; Technique; D,Mathématiques,10.0,Solides bases en sciences physiques et mathématiques.
GCA,C; S; Technique; D,Mathématiques,10.0,"Esprit spatial, maîtrise de la physique et géométrie."
ICMP,C; S; D; Technique,"Sciences Physiques, Chimiques et Technologie (SPCT)",10.0,Forte appétence pour la chimie des matériaux et la physique.
ESIIA,C; S; Technique,Mathématiques,10.0,Compétences élevées en logique mathématique et physique appliquée.
IGGLIA,C; S; D; G; Technique; A; A1; A2,Mathématiques,10.0,"Grande rigueur logique, bon niveau en mathématiques et anglais."
IMTICIA,C; S; D; L; A; A1; A2; G; Technique,Mathématiques,10.0,Créativité visuelle alliée à des compétences en logique numérique.
ISAIA,C; S; D; G,Mathématiques,10.0,Très fort niveau en mathématiques pures et de gestion.
TEE,A; A1; A2; L; D; S; G,Français,10.0,"Aisance en langues, sensibilité écologique et ouverture culturelle."
TEH,A; A1; A2; L; G; D,Français,10.0,Excellentes qualités relationnelles et maîtrise des langues étrangères.
CAA,G; A; A1; A2; L; D; C; S,Français,10.0,"Aisance orale, sens de la négociation et culture économique."
DTJA,A; A1; A2; L; G; D,Français,10.0,Excellente maîtrise du français écrit et capacité de raisonnement rigoureux.
EMP,G; C; S; D; A; A1; A2,Mathématiques,10.0,"Sens de l'organisation, leadership et maîtrise des outils analytiques."
FIC,G; C; S; D,Mathématiques de gestion,10.0,"Grande rigueur avec les chiffres, précision et méthodes analytiques."
