profile_id,type_profil,age,sexe,serie_ou_filiere,competences_clefs,objectif_ou_metier,filiere_associee,score_adéquation_global
STD_2026_0001,Étudiant,21,M,A1,Contrôle qualité HACCP; Process agroalimentaires; Résolution de problèmes,Biologiste industriel,IAA,50.94
STD_2026_0002,Étudiant,18,F,A2,Analyse en laboratoire; Pharmacologie; Résolution de problèmes,Responsable contrôle qualité labo,PIP,52.97
STD_2026_0003,Étudiant,21,F,L,CAO Mécanique; Automatisme PLC; Résolution de problèmes,Ingénieur Électromécanicien,EMII,43.66
STD_2026_0004,Étudiant,21,F,C,Métré et devis; AutoCAD/Revit; Résolution de problèmes,Ingénieur Génie Civil,GCA,81.7
STD_2026_0005,Étudiant,21,M,D,Génie des procédés; Raffinage et extraction; Résolution de problèmes,Ingénieur Procédés,ICMP,82.44
STD_2026_0006,Étudiant,21,M,S,C/C++ embarqué; Signal & Traitement; Résolution de problèmes,Ingénieur Systèmes Embarqués,ESIIA,80.19
STD_2026_0007,Étudiant,16,M,G,Algorithmique & Python; SQL & Bases de données; Résolution de problèmes,Ingénieur Génie Logiciel,IGGLIA,74.52
STD_2026_0008,Étudiant,20,M,Technique,UI/UX Design; Infographie & 3D; Résolution de problèmes,Administrateur Réseaux & TIC,IMTICIA,90.32
STD_2026_0009,Étudiant,17,F,A,PowerBI & Analytics; Statistiques inférentielles; Résolution de problèmes,Data Analyst,ISAIA,58.02
STD_2026_0010,Étudiant,19,M,A1,Ingénierie touristique; Gestion de projets durables; Résolution de problèmes,Chef de projet Développement Durable,TEE,84.78
STD_2026_0011,Étudiant,16,F,A2,Communication interculturelle; Yield Management; Résolution de problèmes,Responsable d'Agence de Voyage,TEH,73.05
STD_2026_0012,Étudiant,21,F,L,Techniques de Vente; Marketing Digital; Résolution de problèmes,Chef de Produit Marketing,CAA,74.32
STD_2026_0013,Étudiant,20,F,C,Conseil d'entreprise; Analyse fiscale; Résolution de problèmes,Gestionnaire de Contrats,DTJA,56.4
STD_2026_0014,Étudiant,19,F,D,Étude d'impact économique; Analyse financière; Résolution de problèmes,Scrum Master,EMP,86.66
STD_2026_0015,Étudiant,16,F,S,Gestion de trésorerie; Comptabilité générale & analytique; Résolution de problèmes,Comptable Senior,FIC,81.04
STD_2026_0016,Étudiant,16,M,G,Analyse des sols; Gestion d'exploitation; Résolution de problèmes,Agronome,AEE,44.17
STD_2026_0017,Étudiant,20,F,Technique,Process agroalimentaires; Biochimie alimentaire; Résolution de problèmes,Biologiste industriel,IAA,76.13
STD_2026_0018,Étudiant,18,M,A,Pharmacologie; Chimie organique; Résolution de problèmes,Responsable contrôle qualité labo,PIP,53.51
STD_2026_0019,Étudiant,17,F,A1,Automatisme PLC; CAO Mécanique; Résolution de problèmes,Automaticien,EMII,42.1
STD_2026_0020,Étudiant,17,F,A2,AutoCAD/Revit; Conduite de chantier BTP; Résolution de problèmes,Architecte collaborateur,GCA,50.16
STD_2026_0021,Étudiant,19,F,L,Normes QHSE; Génie des procédés; Résolution de problèmes,Responsable d'extraction,ICMP,44.8
STD_2026_0022,Étudiant,16,F,C,C/C++ embarqué; Électronique numérique; Résolution de problèmes,Concepteur Électronique,ESIIA,82.22
STD_2026_0023,Étudiant,20,M,D,Machine Learning; SQL & Bases de données; Résolution de problèmes,Data Scientist / IA,IGGLIA,75.29
STD_2026_0024,Étudiant,16,M,S,Réseaux informatiques; Développement Web/Mobile; Résolution de problèmes,Administrateur Réseaux & TIC,IMTICIA,74.08
STD_2026_0025,Étudiant,16,F,G,Python / R Data; Statistiques inférentielles; Résolution de problèmes,Data Analyst,ISAIA,83.5
STD_2026_0026,Étudiant,19,F,Technique,Ingénierie touristique; Gestion de projets durables; Résolution de problèmes,Consultant Écotourisme,TEE,46.26
STD_2026_0027,Étudiant,18,F,A,Communication interculturelle; Management hôtelier; Résolution de problèmes,Directeur de l'Hébergement,TEH,87.02
