metier_id,intitule_metier,filiere_code,parcours_nom
MET_001,Agronome,AEE,Biotechnologie et Agronomie
MET_002,Conseiller agricole,AEE,Biotechnologie et Agronomie
MET_003,Chef d'exploitation,AEE,Biotechnologie et Agronomie
MET_004,Responsable d'élevage,AEE,Biotechnologie et Agronomie
MET_005,Ingénieur Agroalimentaire,IAA,Biotechnologie et Agronomie
MET_006,Responsable Qualité HACCP,IAA,Biotechnologie et Agronomie
MET_007,Conducteur de ligne de production,IAA,Biotechnologie et Agronomie
MET_008,Biologiste industriel,IAA,Biotechnologie et Agronomie
MET_009,Technicien supérieur en pharmacologie,PIP,Biotechnologie et Agronomie
MET_010,Responsable contrôle qualité labo,PIP,Biotechnologie et Agronomie
MET_011,Assistant de recherche galénique,PIP,Biotechnologie et Agronomie
MET_012,Délégué médical,PIP,Biotechnologie et Agronomie
MET_013,Ingénieur Électromécanicien,EMII,Génie Industriel et Génie Civil
MET_014,Automaticien,EMII,Génie Industriel et Génie Civil
MET_015,Responsable Maintenance,EMII,Génie Industriel et Génie Civil
MET_016,Concepteur Mécatronique,EMII,Génie Industriel et Génie Civil
MET_017,Ingénieur Génie Civil,GCA,Génie Industriel et Génie Civil
MET_018,Architecte collaborateur,GCA,Génie Industriel et Génie Civil
MET_019,Chef de chantier BTP,GCA,Génie Industriel et Génie Civil
MET_020,Conducteur de travaux,GCA,Génie Industriel et Génie Civil
MET_021,Ingénieur Procédés,ICMP,Génie Industriel et Génie Civil
MET_022,Géologue minier,ICMP,Génie Industriel et Génie Civil
MET_023,Ingénieur QHSE,ICMP,Génie Industriel et Génie Civil
MET_024,Responsable d'extraction,ICMP,Génie Industriel et Génie Civil
MET_025,Ingénieur Systèmes Embarqués,ESIIA,Informatique et Télécommunication
MET_026,Concepteur Électronique,ESIIA,Informatique et Télécommunication
MET_027,Ingénieur Robotique,ESIIA,Informatique et Télécommunication
MET_028,Développeur IoT,ESIIA,Informatique et Télécommunication
MET_029,Développeur Fullstack,IGGLIA,Informatique et Télécommunication
MET_030,Ingénieur Génie Logiciel,IGGLIA,Informatique et Télécommunication
MET_031,Architecte SI,IGGLIA,Informatique et Télécommunication
MET_032,Data Scientist / IA,IGGLIA,Informatique et Télécommunication
MET_033,Développeur Web/Mobile,IMTICIA,Informatique et Télécommunication
MET_034,Designer UI/UX,IMTICIA,Informatique et Télécommunication
MET_035,Administrateur Réseaux & TIC,IMTICIA,Informatique et Télécommunication
MET_036,Concepteur Multimédia,IMTICIA,Informatique et Télécommunication
MET_037,Data Analyst,ISAIA,Informatique et Télécommunication
MET_038,Data Scientist,ISAIA,Informatique et Télécommunication
MET_039,Consultant Big Data,ISAIA,Informatique et Télécommunication
MET_040,Statisticien Décisionnel,ISAIA,Informatique et Télécommunication
MET_041,Consultant Écotourisme,TEE,Techniques du Tourisme
MET_042,Chef de projet Développement Durable,TEE,Techniques du Tourisme
MET_043,Guide Patrimoine,TEE,Techniques du Tourisme
MET_044,Responsable Parc Naturel,TEE,Techniques du Tourisme
MET_045,Manager d'Hôtel,TEH,Techniques du Tourisme
MET_046,Chef de projet Événementiel,TEH,Techniques du Tourisme
MET_047,Responsable d'Agence de Voyage,TEH,Techniques du Tourisme
MET_048,Directeur de l'Hébergement,TEH,Techniques du Tourisme
MET_049,Responsable Commercial,CAA,Techniques des Affaires
MET_050,Chef de Produit Marketing,CAA,Techniques des Affaires
MET_051,Directeur des Ventes,CAA,Techniques des Affaires
MET_052,Business Developer,CAA,Techniques des Affaires
MET_053,Juriste d'Entreprise,DTJA,Techniques des Affaires
MET_054,Consultant Fiscaliste,DTJA,Techniques des Affaires
MET_055,Assistant Juridique,DTJA,Techniques des Affaires
MET_056,Gestionnaire de Contrats,DTJA,Techniques des Affaires
MET_057,Chef de Projet,EMP,Techniques des Affaires
MET_058,Consultant en Organisation,EMP,Techniques des Affaires
MET_059,Analyste Économique,EMP,Techniques des Affaires
MET_060,Scrum Master,EMP,Techniques des Affaires
MET_061,Comptable Senior,FIC,Techniques des Affaires
MET_062,Auditeur Financier,FIC,Techniques des Affaires
MET_063,Contrôleur de Gestion,FIC,Techniques des Affaires
MET_064,Directeur Financier (CFO),FIC,Techniques des Affaires
