candidat_id,filiere_code,parcours_id,age,sexe,serie,moyenne_generale,preferences_env,objectif_professionnel,filiere_nom,filiere_parcours_id,filiere_parcours_nom,filiere_secteur,target,nombre_competences,nombre_matieres_fortes,nombre_matieres_faibles,nombre_centres_interet
STD_2026_0001,AEE,P1,21,M,A1,13.16,Bureau & Télétravail,Biologiste industriel,Agriculture et Élevage,P1,Biotechnologie et Agronomie,Agriculture / Agronomie,0,3,2,2,2
STD_2026_0001,IAA,P1,21,M,A1,13.16,Bureau & Télétravail,Biologiste industriel,Industrie Agroalimentaire,P1,Biotechnologie et Agronomie,Industrie Agroalimentaire,1,3,2,2,2
STD_2026_0001,PIP,P1,21,M,A1,13.16,Bureau & Télétravail,Biologiste industriel,Pharmacologie et Industries Pharmaceutiques,P1,Biotechnologie et Agronomie,Industrie Pharmaceutique & Santé,0,3,2,2,2
STD_2026_0001,EMII,P2,21,M,A1,13.16,Bureau & Télétravail,Biologiste industriel,Électro-Mécanique et Informatique Industrielle,P2,Génie Industriel et Génie Civil,Industrie & Automatisme,0,3,2,2,2
STD_2026_0001,GCA,P2,21,M,A1,13.16,Bureau & Télétravail,Biologiste industriel,Génie Civil et Architecture,P2,Génie Industriel et Génie Civil,Bâtiment et Travaux Publics (BTP),0,3,2,2,2
STD_2026_0001,ICMP,P2,21,M,A1,13.16,Bureau & Télétravail,Biologiste industriel,"Industries Chimiques, Minières et Pétrolières",P2,Génie Industriel et Génie Civil,"Mines, Énergie & Chimie",0,3,2,2,2
STD_2026_0001,ESIIA,P3,21,M,A1,13.16,Bureau & Télétravail,Biologiste industriel,Electronique Système Informatique et Intelligence Artificielle,P3,Informatique et Télécommunication,Électronique & High-Tech,0,3,2,2,2
STD_2026_0001,IGGLIA,P3,21,M,A1,13.16,Bureau & Télétravail,Biologiste industriel,Informatique de Gestion Génie Logiciel et Intelligence Artificielle,P3,Informatique et Télécommunication,Informatique & Édition de Logiciels,0,3,2,2,2
STD_2026_0001,IMTICIA,P3,21,M,A1,13.16,Bureau & Télétravail,Biologiste industriel,Informatique Multimédia Technologie de L'information et de la Communication et Intelligence Artificielle,P3,Informatique et Télécommunication,Numérique & Multimédia,0,3,2,2,2
STD_2026_0001,ISAIA,P3,21,M,A1,13.16,Bureau & Télétravail,Biologiste industriel,Informatique Statistique Appliquée et Intelligence Artificielle,P3,Informatique et Télécommunication,Data & Intelligence Artificielle,0,3,2,2,2
STD_2026_0001,TEE,P4,21,M,A1,13.16,Bureau & Télétravail,Biologiste industriel,Tourisme et Environnement,P4,Techniques du Tourisme,Tourisme & Environnement,0,3,2,2,2
STD_2026_0001,TEH,P4,21,M,A1,13.16,Bureau & Télétravail,Biologiste industriel,Tourisme et Hôtellerie,P4,Techniques du Tourisme,Hôtellerie & Restauration,0,3,2,2,2
STD_2026_0001,CAA,P5,21,M,A1,13.16,Bureau & Télétravail,Biologiste industriel,Commerce et Administration des Affaires,P5,Techniques des Affaires,Commerce & Marketing,0,3,2,2,2
STD_2026_0001,DTJA,P5,21,M,A1,13.16,Bureau & Télétravail,Biologiste industriel,Droit et Techniques Juridiques des Affaires,P5,Techniques des Affaires,Droit & Juridique,0,3,2,2,2
STD_2026_0001,EMP,P5,21,M,A1,13.16,Bureau & Télétravail,Biologiste industriel,Economie et Management de Projet,P5,Techniques des Affaires,Management & Conseil,0,3,2,2,2
STD_2026_0001,FIC,P5,21,M,A1,13.16,Bureau & Télétravail,Biologiste industriel,Finances et Comptabilités,P5,Techniques des Affaires,Finance & Comptabilité,0,3,2,2,2
STD_2026_0002,AEE,P1,18,F,A2,12.12,Laboratoire & R&D,Responsable contrôle qualité labo,Agriculture et Élevage,P1,Biotechnologie et Agronomie,Agriculture / Agronomie,0,3,2,2,2
STD_2026_0002,IAA,P1,18,F,A2,12.12,Laboratoire & R&D,Responsable contrôle qualité labo,Industrie Agroalimentaire,P1,Biotechnologie et Agronomie,Industrie Agroalimentaire,0,3,2,2,2
STD_2026_0002,PIP,P1,18,F,A2,12.12,Laboratoire & R&D,Responsable contrôle qualité labo,Pharmacologie et Industries Pharmaceutiques,P1,Biotechnologie et Agronomie,Industrie Pharmaceutique & Santé,1,3,2,2,2
STD_2026_0002,EMII,P2,18,F,A2,12.12,Laboratoire & R&D,Responsable contrôle qualité labo,Électro-Mécanique et Informatique Industrielle,P2,Génie Industriel et Génie Civil,Industrie & Automatisme,0,3,2,2,2
STD_2026_0002,GCA,P2,18,F,A2,12.12,Laboratoire & R&D,Responsable contrôle qualité labo,Génie Civil et Architecture,P2,Génie Industriel et Génie Civil,Bâtiment et Travaux Publics (BTP),0,3,2,2,2
STD_2026_0002,ICMP,P2,18,F,A2,12.12,Laboratoire & R&D,Responsable contrôle qualité labo,"Industries Chimiques, Minières et Pétrolières",P2,Génie Industriel et Génie Civil,"Mines, Énergie & Chimie",0,3,2,2,2
STD_2026_0002,ESIIA,P3,18,F,A2,12.12,Laboratoire & R&D,Responsable contrôle qualité labo,Electronique Système Informatique et Intelligence Artificielle,P3,Informatique et Télécommunication,Électronique & High-Tech,0,3,2,2,2
STD_2026_0002,IGGLIA,P3,18,F,A2,12.12,Laboratoire & R&D,Responsable contrôle qualité labo,Informatique de Gestion Génie Logiciel et Intelligence Artificielle,P3,Informatique et Télécommunication,Informatique & Édition de Logiciels,0,3,2,2,2
STD_2026_0002,IMTICIA,P3,18,F,A2,12.12,Laboratoire & R&D,Responsable contrôle qualité labo,Informatique Multimédia Technologie de L'information et de la Communication et Intelligence Artificielle,P3,Informatique et Télécommunication,Numérique & Multimédia,0,3,2,2,2
STD_2026_0002,ISAIA,P3,18,F,A2,12.12,Laboratoire & R&D,Responsable contrôle qualité labo,Informatique Statistique Appliquée et Intelligence Artificielle,P3,Informatique et Télécommunication,Data & Intelligence Artificielle,0,3,2,2,2
STD_2026_0002,TEE,P4,18,F,A2,12.12,Laboratoire & R&D,Responsable contrôle qualité labo,Tourisme et Environnement,P4,Techniques du Tourisme,Tourisme & Environnement,0,3,2,2,2
STD_2026_0002,TEH,P4,18,F,A2,12.12,Laboratoire & R&D,Responsable contrôle qualité labo,Tourisme et Hôtellerie,P4,Techniques du Tourisme,Hôtellerie & Restauration,0,3,2,2,2
STD_2026_0002,CAA,P5,18,F,A2,12.12,Laboratoire & R&D,Responsable contrôle qualité labo,Commerce et Administration des Affaires,P5,Techniques des Affaires,Commerce & Marketing,0,3,2,2,2
STD_2026_0002,DTJA,P5,18,F,A2,12.12,Laboratoire & R&D,Responsable contrôle qualité labo,Droit et Techniques Juridiques des Affaires,P5,Techniques des Affaires,Droit & Juridique,0,3,2,2,2
STD_2026_0002,EMP,P5,18,F,A2,12.12,Laboratoire & R&D,Responsable contrôle qualité labo,Economie et Management de Projet,P5,Techniques des Affaires,Management & Conseil,0,3,2,2,2
STD_2026_0002,FIC,P5,18,F,A2,12.12,Laboratoire & R&D,Responsable contrôle qualité labo,Finances et Comptabilités,P5,Techniques des Affaires,Finance & Comptabilité,0,3,2,2,2
STD_2026_0003,AEE,P1,21,F,L,13.25,Espaces de Coworking / Startup,Ingénieur Électromécanicien,Agriculture et Élevage,P1,Biotechnologie et Agronomie,Agriculture / Agronomie,0,3,2,2,2
STD_2026_0003,IAA,P1,21,F,L,13.25,Espaces de Coworking / Startup,Ingénieur Électromécanicien,Industrie Agroalimentaire,P1,Biotechnologie et Agronomie,Industrie Agroalimentaire,0,3,2,2,2
STD_2026_0003,PIP,P1,21,F,L,13.25,Espaces de Coworking / Startup,Ingénieur Électromécanicien,Pharmacologie et Industries Pharmaceutiques,P1,Biotechnologie et Agronomie,Industrie Pharmaceutique & Santé,0,3,2,2,2
STD_2026_0003,EMII,P2,21,F,L,13.25,Espaces de Coworking / Startup,Ingénieur Électromécanicien,Électro-Mécanique et Informatique Industrielle,P2,Génie Industriel et Génie Civil,Industrie & Automatisme,1,3,2,2,2
STD_2026_0003,GCA,P2,21,F,L,13.25,Espaces de Coworking / Startup,Ingénieur Électromécanicien,Génie Civil et Architecture,P2,Génie Industriel et Génie Civil,Bâtiment et Travaux Publics (BTP),0,3,2,2,2
STD_2026_0003,ICMP,P2,21,F,L,13.25,Espaces de Coworking / Startup,Ingénieur Électromécanicien,"Industries Chimiques, Minières et Pétrolières",P2,Génie Industriel et Génie Civil,"Mines, Énergie & Chimie",0,3,2,2,2
STD_2026_0003,ESIIA,P3,21,F,L,13.25,Espaces de Coworking / Startup,Ingénieur Électromécanicien,Electronique Système Informatique et Intelligence Artificielle,P3,Informatique et Télécommunication,Électronique & High-Tech,0,3,2,2,2
STD_2026_0003,IGGLIA,P3,21,F,L,13.25,Espaces de Coworking / Startup,Ingénieur Électromécanicien,Informatique de Gestion Génie Logiciel et Intelligence Artificielle,P3,Informatique et Télécommunication,Informatique & Édition de Logiciels,0,3,2,2,2
STD_2026_0003,IMTICIA,P3,21,F,L,13.25,Espaces de Coworking / Startup,Ingénieur Électromécanicien,Informatique Multimédia Technologie de L'information et de la Communication et Intelligence Artificielle,P3,Informatique et Télécommunication,Numérique & Multimédia,0,3,2,2,2
STD_2026_0003,ISAIA,P3,21,F,L,13.25,Espaces de Coworking / Startup,Ingénieur Électromécanicien,Informatique Statistique Appliquée et Intelligence Artificielle,P3,Informatique et Télécommunication,Data & Intelligence Artificielle,0,3,2,2,2
STD_2026_0003,TEE,P4,21,F,L,13.25,Espaces de Coworking / Startup,Ingénieur Électromécanicien,Tourisme et Environnement,P4,Techniques du Tourisme,Tourisme & Environnement,0,3,2,2,2
STD_2026_0003,TEH,P4,21,F,L,13.25,Espaces de Coworking / Startup,Ingénieur Électromécanicien,Tourisme et Hôtellerie,P4,Techniques du Tourisme,Hôtellerie & Restauration,0,3,2,2,2
STD_2026_0003,CAA,P5,21,F,L,13.25,Espaces de Coworking / Startup,Ingénieur Électromécanicien,Commerce et Administration des Affaires,P5,Techniques des Affaires,Commerce & Marketing,0,3,2,2,2
STD_2026_0003,DTJA,P5,21,F,L,13.25,Espaces de Coworking / Startup,Ingénieur Électromécanicien,Droit et Techniques Juridiques des Affaires,P5,Techniques des Affaires,Droit & Juridique,0,3,2,2,2
STD_2026_0003,EMP,P5,21,F,L,13.25,Espaces de Coworking / Startup,Ingénieur Électromécanicien,Economie et Management de Projet,P5,Techniques des Affaires,Management & Conseil,0,3,2,2,2
STD_2026_0003,FIC,P5,21,F,L,13.25,Espaces de Coworking / Startup,Ingénieur Électromécanicien,Finances et Comptabilités,P5,Techniques des Affaires,Finance & Comptabilité,0,3,2,2,2
STD_2026_0004,AEE,P1,21,F,C,13.65,Bureau & Télétravail,Ingénieur Génie Civil,Agriculture et Élevage,P1,Biotechnologie et Agronomie,Agriculture / Agronomie,0,3,2,2,2
STD_2026_0004,IAA,P1,21,F,C,13.65,Bureau & Télétravail,Ingénieur Génie Civil,Industrie Agroalimentaire,P1,Biotechnologie et Agronomie,Industrie Agroalimentaire,0,3,2,2,2
STD_2026_0004,PIP,P1,21,F,C,13.65,Bureau & Télétravail,Ingénieur Génie Civil,Pharmacologie et Industries Pharmaceutiques,P1,Biotechnologie et Agronomie,Industrie Pharmaceutique & Santé,0,3,2,2,2
STD_2026_0004,EMII,P2,21,F,C,13.65,Bureau & Télétravail,Ingénieur Génie Civil,Électro-Mécanique et Informatique Industrielle,P2,Génie Industriel et Génie Civil,Industrie & Automatisme,0,3,2,2,2
STD_2026_0004,GCA,P2,21,F,C,13.65,Bureau & Télétravail,Ingénieur Génie Civil,Génie Civil et Architecture,P2,Génie Industriel et Génie Civil,Bâtiment et Travaux Publics (BTP),1,3,2,2,2
STD_2026_0004,ICMP,P2,21,F,C,13.65,Bureau & Télétravail,Ingénieur Génie Civil,"Industries Chimiques, Minières et Pétrolières",P2,Génie Industriel et Génie Civil,"Mines, Énergie & Chimie",0,3,2,2,2
